Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,0.745168,0.748873,0.744846,0.745223,0.745223,0
2016-11-02,0.746726,0.748486,0.745318,0.746770,0.746770,0
2016-11-03,0.746575,0.748453,0.746163,0.746603,0.746603,0
2016-11-04,0.746714,0.747049,0.743086,0.746709,0.746709,0
2016-11-07,0.748570,0.748570,0.745440,0.748542,0.748542,0
2016-11-08,0.747854,0.749777,0.746804,0.747898,0.747898,0
2016-11-09,0.752066,0.753744,0.739443,0.752134,0.752134,0
2016-11-10,0.745662,0.746999,0.740373,0.745579,0.745579,0
2016-11-11,0.742302,0.743130,0.738356,0.742368,0.742368,0
2016-11-14,0.739339,0.739508,0.735965,0.739300,0.739300,0
2016-11-15,0.738667,0.742688,0.737898,0.738667,0.738667,0
2016-11-16,0.743235,0.745034,0.740521,0.743224,0.743224,0
2016-11-17,0.744724,0.746269,0.743544,0.744801,0.744801,0
2016-11-18,0.738765,0.741076,0.737262,0.738754,0.738754,0
2016-11-21,0.740231,0.747072,0.740209,0.740302,0.740302,0
2016-11-22,0.745757,0.747474,0.744120,0.745823,0.745823,0
2016-11-23,0.744541,0.744940,0.739891,0.744491,0.744491,0
2016-11-24,0.740669,0.742016,0.738907,0.740658,0.740658,0
2016-11-25,0.741295,0.743224,0.739973,0.741235,0.741235,0
2016-11-28,0.739601,0.746430,0.739601,0.739864,0.739864,0
2016-11-29,0.746152,0.746213,0.741873,0.746085,0.746085,0
2016-11-30,0.744552,0.748727,0.743517,0.744535,0.744535,0
2016-12-01,0.744857,0.750244,0.744236,0.744857,0.744857,0
2016-12-02,0.751473,0.753886,0.750852,0.751490,0.751490,0
2016-12-05,0.750334,0.753909,0.749182,0.750728,0.750728,0
2016-12-06,0.753494,0.754717,0.751303,0.753466,0.753466,0
2016-12-07,0.753216,0.755093,0.752236,0.753182,0.753182,0
2016-12-08,0.756149,0.757524,0.754745,0.756086,0.756086,0
2016-12-09,0.757668,0.759763,0.756888,0.757863,0.757863,0
2016-12-12,0.761464,0.762835,0.760844,0.761678,0.761678,0
2016-12-13,0.761725,0.763068,0.761122,0.761806,0.761806,0
2016-12-14,0.761325,0.764374,0.761012,0.761360,0.761360,0
2016-12-15,0.752610,0.753330,0.746419,0.752683,0.752683,0
2016-12-16,0.749979,0.750863,0.746748,0.750013,0.750013,0
2016-12-19,0.749603,0.750920,0.746391,0.749665,0.749665,0
2016-12-20,0.746124,0.747272,0.744408,0.746068,0.746068,0
2016-12-21,0.747943,0.748671,0.746408,0.747876,0.747876,0
2016-12-22,0.744452,0.745434,0.739672,0.744502,0.744502,0
2016-12-23,0.741675,0.741851,0.737692,0.741763,0.741763,0
2016-12-26,0.739629,0.742258,0.738389,0.739634,0.739634,0
2016-12-27,0.739415,0.739776,0.737849,0.739508,0.739508,0
2016-12-28,0.736594,0.737458,0.735408,0.736610,0.736610,0
2016-12-29,0.737942,0.741686,0.737643,0.737866,0.737866,0
2016-12-30,0.741972,0.746135,0.741076,0.741944,0.741944,0
2017-01-02,0.744380,0.747049,0.743517,0.744380,0.744380,0
2017-01-03,0.744009,0.746074,0.743075,0.743970,0.743970,0
2017-01-04,0.745040,0.752230,0.743146,0.745057,0.745057,0
2017-01-05,0.752066,0.757077,0.751247,0.751936,0.751936,0
2017-01-06,0.755858,0.758783,0.753767,0.755892,0.755892,0
2017-01-09,0.755259,0.757105,0.753262,0.755184,0.755184,0
2017-01-10,0.756716,0.758001,0.754364,0.756767,0.756767,0
2017-01-11,0.755059,0.756716,0.752321,0.755059,0.755059,0
2017-01-12,0.759769,0.767401,0.759330,0.759694,0.759694,0
2017-01-13,0.760422,0.762340,0.759492,0.760422,0.760422,0
2017-01-16,0.761777,0.761951,0.759769,0.761847,0.761847,0
2017-01-17,0.759186,0.768049,0.758225,0.759013,0.759013,0
2017-01-18,0.765626,0.766242,0.762300,0.765597,0.765597,0
2017-01-19,0.753949,0.754558,0.749648,0.753864,0.753864,0
2017-01-20,0.750785,0.752763,0.747094,0.750666,0.750666,0
